"id","yearBuilt","City","latitude","longitude","zipcode","bathrooms","bedrooms","DateListed","DateSold","daysOnZillow","homeType","lastSoldPrice","livingArea","lotSize","price","priceHistory.1.price","propertyTaxRate","hasCooling","hasFireplace","hasGarage","hasHeating","hasView","schools0distance","schools0level","schools0rating","schools1distance","schools1level","schools1rating","schools2distance","school2level","schools2rating","price_category"
20582,1996,"Tualatin",45.35628,-122.7738,"97062",3,3,"8/19/2019","7/15/2020",331,"SINGLE_FAMILY",465000,2162,4791,465000,465000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.5,"Elementary","6",2.6,"Middle","5",0.2,"High","8","below"
20583,2005,"Sherwood",45.34965,-122.8246,"97140",5,4,"10/30/2019","8/20/2020",295,"SINGLE_FAMILY",930000,3775,10454,930000,940000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.1,"Elementary","7",1.2,"Middle","8",1.7,"High","9","above"
20584,2003,"Sherwood",45.34964,-122.8251,"97140",4,4,"11/13/2019","8/27/2020",288,"SINGLE_FAMILY",930000,3910,14374,930000,950000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.1,"Elementary","7",1.1,"Middle","8",1.7,"High","9","above"
20586,1996,"Sherwood",45.3518,-122.8645,"97140",2,3,"12/27/2019","9/18/2020",266,"SINGLE_FAMILY",510000,1615,6534,510000,450000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"Elementary","9",1.5,"Middle","8",0.9,"High","9","below"
20587,2006,"Beaverton",45.42885,-122.8439,"97007",3,3,"3/5/2021","4/23/2021",49,"TOWNHOUSE",359600,1586,1586,359600,369900,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,0.1,"Elementary","7",2.8,"Middle","6",0.7,"High","6","below"
20589,1991,"Beaverton",45.51421,-122.8476,"97006",2.5,4,"3/19/2021","4/30/2021",42,"SINGLE_FAMILY",564800,2070,5662,564800,1695,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"Elementary","6",1.1,"Middle","4",2.3,"High","3","above"
20590,1990,"Beaverton",45.51285,-122.9002,"97003",2.5,4,"3/19/2021","4/30/2021",42,"SINGLE_FAMILY",484800,2056,5227,484800,156500,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.5,"Elementary","7",0.3,"Middle","7",1.2,"High","7","below"
20591,1970,"Tigard",45.41903,-122.7793,"97224",2,3,"6/12/2020","12/11/2020",182,"SINGLE_FAMILY",460000,1836,14810,460000,345000,1.13,TRUE,TRUE,FALSE,TRUE,FALSE,0.5,"Elementary","4",0.4,"Middle","5",1.2,"High","7","below"
20593,2002,"Sherwood",45.34917,-122.8252,"97140",4,4,"10/24/2020","2/16/2021",115,"SINGLE_FAMILY",830000,4073,13503,830000,849000,1.13,TRUE,TRUE,FALSE,TRUE,TRUE,1.1,"Elementary","7",1.2,"Middle","8",1.7,"High","9","above"
20595,1992,"Beaverton",45.4829,-122.8901,"97078",3,3,"5/12/2021","5/27/2021",15,"SINGLE_FAMILY",433300,1557,4792,465900,433300,1.13,TRUE,TRUE,TRUE,TRUE,FALSE,0.3,"Elementary","5",1.8,"Middle","7",2.1,"High","7","below"
